"AnnoMese";"Postazione";"Strada";"Giorni Validi";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi";"TGM - Totale";"TGM - Non Classificato";"TGM - Leggeri";"TGM - Pesanti";"TGM - Diurno";"TGM - Notturno";"TGM - Feriali";"TGM - Festivi"
"2019/07";"290";"SP 11 fra Pieve di Cento e San Pietro in Casale";"31";"169.878";"1";"160.156";"9.721";"125.027";"44.851";"137.430";"32.448";"5.480";"0";"5.166";"314";"4.033";"1.447";"5.975";"4.056"
"2019/07";"291";"SP 4 tra San Pietro in Casale e San Vincenzo/San Venanzio";"31";"288.346";"9";"277.948";"10.389";"209.735";"78.611";"232.572";"55.774";"9.301";"0";"8.966";"335";"6.766";"2.536";"10.112";"6.972"
"2019/07";"292";"SP 4 tra San Giorgio di Piano e Intersezione SP 11 c/o San Pietro in Casale";"31";"479.191";"36";"462.013";"17.142";"344.137";"135.054";"392.295";"86.896";"15.458";"1";"14.904";"553";"11.101";"4.357";"17.056";"10.862"
"2019/07";"330";"SS 64 tra Sasso Marconi e Marzabotto";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"331";"SP 325 tra Casello A 1 (Sasso Marconi) e Vado";"31";"218.878";"16";"210.442";"8.420";"159.635";"59.243";"171.068";"47.810";"7.061";"1";"6.788";"272";"5.150";"1.911";"7.438";"5.976"
"2019/07";"332";"SP 306R fra Castel Bolognese e Riolo Terme";"31";"259.493";"17";"246.070";"13.406";"185.206";"74.287";"199.349";"60.144";"8.371";"1";"7.938";"432";"5.974";"2.396";"8.667";"7.518"
"2019/07";"333";"SS 9 tra Castel Bolognese e Faenza";"30";"670.455";"10";"645.145";"25.300";"469.809";"200.646";"532.013";"138.442";"22.349";"0";"21.505";"843";"15.660";"6.688";"23.131";"19.777"
"2019/07";"334";"SP 8 dal Casello A 1 (Faenza) a Cotignola";"30";"436.465";"0";"411.144";"25.321";"315.768";"120.697";"344.899";"91.566";"14.549";"0";"13.705";"844";"10.526";"4.023";"14.996";"13.081"
"2019/07";"335";"SP 7 tra l'A 14 (bivio SP 29) e l'A 14dir (Barbiano)";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"336";"SP 253R tra Lugo (ponte fiume Senio) e Bagnacavallo";"11";"101.343";"8";"94.666";"6.669";"79.489";"21.854";"94.041";"7.302";"9.213";"1";"8.606";"606";"7.226";"1.987";"9.404";"7.302"
