"AnnoMese";"Postazione";"Strada";"Corsia";"Giorni Validi";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi";"TGM - Totale";"TGM - Non Classificato";"TGM - Leggeri";"TGM - Pesanti";"TGM - Diurno";"TGM - Notturno";"TGM - Feriali";"TGM - Festivi"
"2019/07";"601";"SP 21 da Castel San Pietro al bivio SP 35 (c/o Sassoleone)";"0 - DA CASTEL SAN PIETRO TERME A CASTEL DEL RIO";"31";"66.153";"5";"64.676";"1.472";"49.092";"17.061";"46.343";"19.810";"2.134";"0";"2.086";"47";"1.584";"550";"2.015";"2.476"
"2019/07";"601";"SP 21 da Castel San Pietro al bivio SP 35 (c/o Sassoleone)";"1 - DA CASTEL DEL RIO A CASTEL SAN PIETRO TERME";"31";"66.259";"10";"64.655";"1.594";"41.999";"24.260";"46.071";"20.188";"2.137";"0";"2.086";"51";"1.355";"783";"2.003";"2.524"
"2019/07";"602";"SP 9_1 da Crevalcore alla località Caselle";"0 - DA CREVALCORE A CAMPOSANTO";"30";"22.155";"0";"21.212";"943";"15.886";"6.269";"17.935";"4.220";"739";"0";"707";"31";"530";"209";"780";"603"
"2019/07";"602";"SP 9_1 da Crevalcore alla località Caselle";"1 - DA CAMPOSANTO A CREVALCORE";"30";"21.701";"3";"20.771";"927";"16.208";"5.493";"17.725";"3.976";"723";"0";"692";"31";"540";"183";"771";"568"
"2019/07";"603";"SP 10 dalla località Decima ai confini provinciali di Bologna e Ferrara";"0 - DA SAN MATTEO DELLA DECIMA A FINALE EMILIA";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"603";"SP 10 dalla località Decima ai confini provinciali di Bologna e Ferrara";"1 - DA FINALE EMILIA A SAN MATTEO DELLA DECIMA";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"604";"SP 37 da Sasso Marconi alla intersezione SP 58";"0 - DA BOLOGNA A SASSO MARCONI";"31";"80.808";"12";"77.608";"3.188";"63.670";"17.138";"64.365";"16.443";"2.607";"0";"2.503";"103";"2.054";"553";"2.798";"2.055"
"2019/07";"604";"SP 37 da Sasso Marconi alla intersezione SP 58";"1 - DA SASSO MARCONI A BOLOGNA";"31";"77.441";"6";"74.594";"2.841";"57.915";"19.526";"61.313";"16.128";"2.498";"0";"2.406";"92";"1.868";"630";"2.666";"2.016"
"2019/07";"605";"SP 324 da Silla alla intersezione SP 623";"0 - DA PORRETTA TERME A CONFINE REGIONALE TOSCANA";"6";"25.241";"0";"24.271";"970";"19.281";"5.960";"20.722";"4.519";"4.207";"0";"4.045";"162";"3.214";"993";"4.144";"4.519"
"2019/07";"605";"SP 324 da Silla alla intersezione SP 623";"1 - DA CONFINE REGIONALE TOSCANA A PORRETTA TERME";"6";"23.260";"3";"22.341";"916";"18.083";"5.177";"19.555";"3.705";"3.877";"1";"3.724";"153";"3.014";"863";"3.911";"3.705"
"2019/07";"618";"SP 253R fra Bagnacavallo (A14 Dir) e Godo (bivio SP 302R)";"0 - DA BAGNACAVALLO A RUSSI";"1";"4.351";"489";"3.668";"194";"3.119";"1.232";"4.351";"0";"4.351";"489";"3.668";"194";"3.119";"1.232";"4.351";"#DIV/0"
"2019/07";"618";"SP 253R fra Bagnacavallo (A14 Dir) e Godo (bivio SP 302R)";"1 - DA RUSSI A BAGNACAVALLO";"31";"107.925";"2";"100.545";"7.378";"79.500";"28.425";"85.667";"22.258";"3.481";"0";"3.243";"238";"2.565";"917";"3.725";"2.782"
"2019/07";"619";"SP 8 da Bagnacavallo al bivio SS 16";"0 - DA BAGNACAVALLO A ALFONSINE";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"619";"SP 8 da Bagnacavallo al bivio SS 16";"1 - DA ALFONSINE A BAGNACAVALLO";"31";"52.261";"20";"49.381";"2.860";"37.637";"14.624";"41.359";"10.902";"1.686";"1";"1.593";"92";"1.214";"472";"1.798";"1.363"
"2019/07";"627";"SS 64 variante di Riola di Vergato";"0 - DA PORRETTA TERME A FERRARA";"31";"147.325";"14";"141.057";"6.254";"108.119";"39.206";"105.486";"41.839";"4.752";"0";"4.550";"202";"3.488";"1.265";"4.586";"5.230"
"2019/07";"627";"SS 64 variante di Riola di Vergato";"1 - DA FERRARA A PORRETTA TERME";"31";"140.497";"15";"134.550";"5.932";"107.220";"33.277";"103.098";"37.399";"4.532";"0";"4.340";"191";"3.459";"1.073";"4.483";"4.675"
"2019/07";"651";"SS 9 da Imola a Castelbolognese (al confine provinciale)";"0 - DA RIMINI A PIACENZA";"30";"256.485";"0";"242.344";"14.141";"181.257";"75.228";"196.865";"59.620";"8.550";"0";"8.078";"471";"6.042";"2.508";"8.559";"8.517"
"2019/07";"651";"SS 9 da Imola a Castelbolognese (al confine provinciale)";"1 - DA PIACENZA A RIMINI";"30";"238.845";"0";"229.926";"8.919";"169.446";"69.399";"189.022";"49.823";"7.962";"0";"7.664";"297";"5.648";"2.313";"8.218";"7.118"
"2019/07";"653";"SP 254R dal ponte sul fiume Savio alla SS 16";"0 - DA FORLI' A CERVIA";"29";"189.587";"0";"186.382";"3.205";"137.114";"52.473";"139.579";"50.008";"6.537";"0";"6.427";"111";"4.728";"1.809";"6.345";"7.144"
"2019/07";"653";"SP 254R dal ponte sul fiume Savio alla SS 16";"1 - DA CERVIA A FORLI'";"29";"185.761";"0";"182.552";"3.209";"115.707";"70.054";"133.836";"51.925";"6.406";"0";"6.295";"111";"3.990";"2.416";"6.083";"7.418"
"2019/07";"654";"SP 7IBisR dal bivio SSPP 32/33ter alla SS 16";"0 - DA CESENA A CERVIA";"29";"299.631";"0";"292.307";"7.324";"219.986";"79.645";"222.830";"76.801";"10.332";"0";"10.080";"253";"7.586";"2.746";"10.129";"10.972"
"2019/07";"654";"SP 7IBisR dal bivio SSPP 32/33ter alla SS 16";"1 - DA CERVIA A CESENA";"29";"300.643";"0";"293.754";"6.889";"193.774";"106.869";"218.185";"82.458";"10.367";"0";"10.129";"238";"6.682";"3.685";"9.918";"11.780"
"2019/07";"655";"SP 253R dal bivio SP 302R allo svincolo A 14dir a Fornace Zarattini";"0 - DA RUSSI A RAVENNA";"19";"161.838";"0";"155.157";"6.681";"124.785";"37.053";"116.525";"45.313";"8.518";"0";"8.166";"352";"6.568";"1.950";"8.963";"7.552"
"2019/07";"655";"SP 253R dal bivio SP 302R allo svincolo A 14dir a Fornace Zarattini";"1 - DA RAVENNA A RUSSI";"10";"74.219";"0";"71.104";"3.115";"51.951";"22.268";"62.180";"12.039";"7.422";"0";"7.110";"312";"5.195";"2.227";"7.773";"6.020"

